label,text
0,"In vitro and in vivo activity of new strains of Bacillus subtilis against ESBL-producing Escherichia coli: an experimental study. The gastro-intestinal tract is a major reservoir of extended-spectrum beta-lactamase (ESBL) producing Escherichia coli. Bacillus spores may be used as probiotics to decrease digestive colonization by ESBL-E. coli. Our aim was to assess the in vitro and in vivo activity of new Bacillus strains against ESBL-E. coli."
0,"International High-Risk Clones Among Extended-Spectrum β-Lactamase-Producing  in Dhaka, Bangladesh.   is a major extended-spectrum β-lactamase (ESBL)-producing organism responsible for the rapid spread of antimicrobial resistance (AMR) that has compromised our ability to treat infections. Baseline data on population structure, virulence, and resistance mechanisms in  lineages from developing countries such as Bangladesh are lacking.  Whole-genome sequencing was performed for 46 ESBL- isolates cultured from patient samples at the International Centre for Diarrhoeal Disease Research, Bangladesh (icddr,b)-Dhaka. Sequence data were analyzed to glean details of AMR, virulence, and phylogenetic and molecular markers of  lineages.  Genome comparison revealed presence of all major high-risk clones including sequence type 131 (ST131) (46%), ST405 (13%), ST648 (7%), ST410 (4.3%), ST38 (2%), ST73 (2%), and ST1193 (2%). The predominant ESBL gene and plasmid combination were       and FII-FIA-FIB detected in diverse  phylogroups and STs. The     (9%) gene was present in prominent  STs. One (2%) positive ST1011 , coharboring     gene, was detected. The extraintestinal pathogenic  genotype was associated with specific  lineages. The single nucleotide polymorphism (SNP)-based genome phylogeny largely showed correlation with phylogroups, serogroups, and  types. Majority of these isolates were susceptible to amikacin (93%), imipenem (93%), and nitrofurantoin (83%).  Our study reveals a high diversity of  lineages among ESBL-producing  from Dhaka. This study suggests ongoing circulation of ST131 and all major non-ST131 high-risk clones that are strongly associated with cephalosporin resistance and virulence genes. These findings warrant prospective monitoring of high-risk clones, which would otherwise worsen the AMR crises."
0,"Extended-Spectrum Beta-Lactamase Producing- Isolated From Irrigation Waters and Produce in Ecuador. In cities across the globe, the majority of wastewater - that includes drug resistant and pathogenic bacteria among other contaminants - is released into streams untreated. This water is often subsequently used for irrigation of pastures and produce. This use of wastewater-contaminated streams allows antibiotic-resistant bacteria to potentially cycle back to humans through agricultural products. In this study, we investigated the prevalence of extended-spectrum β-lactamase (ESBL)-producing  isolated from produce and irrigation water across 17 provinces of Ecuador. A total of 117 vegetable samples, 119 fruit samples, and 38 irrigation water samples were analyzed. Results showed that 11% of the samples were positive for  including 11 irrigation water samples (29%), and samples of 13 vegetables (11%), and 11 fruits (9%). Among the 165  isolates cultured, 96 (58%) had the ESBL phenotype, and 58% of ESBL producing  came from irrigation water samples, 11% from vegetables, and 30% from fruits. The    ,  , and   genes were the most frequently found gene associated with the ESBL phenotype and coincided with the   alleles associated with human infections in Ecuador. Three isolates had the mcr-1 gene which is responsible for colistin resistance. This report provides evidence of the potential role of irrigation water in the growing antimicrobial resistance crisis in Ecuador."
0,"ESBL/pAmpC-producing Escherichia coli and Klebsiella pneumoniae carriage among veterinary healthcare workers in the Netherlands. Animals are a reservoir for ESBL/pAmpC-producing Escherichia coli/Klebsiella pneumoniae (ESBL-E/K). We investigated the association between occupational contact with different types of animals and the prevalence of ESBL-E/K carriage among veterinary healthcare workers, assessed molecular characteristics of ESBL-E/K, and followed-up on the ESBL-E/K carriage status of participants and their household members."
0,"Prevalence of extended-spectrum β-lactamase (ESBL)-producing Enterobacteriaceae in wastewater: a systematic review and meta-analysis. Wastewater is considered a hotspot niche of multi-drug and pathogenic bacteria such as Enterobacteriaceae-producing extended-spectrum beta-lactamases (ESBL-E). Thus, the aim of this meta-analysis was to evaluate the prevalence of ESBL-E in different wastewater sources. Different databases (Medline, EMBASE, and Cochrane Library) were searched from inception to March 2021. Data were analyzed using random-effects modeling, and subgroup and meta-regression analyses were used to ascertain heterogeneity among the subgroups. Fifty-seven observational studies were selected, and the pooled prevalence of ESBL-E in wastewater was 24.81% (95% CI, 19.28-30.77). Escherichia coli had the highest ESBL prevalence. The blaCTX-M genes were the most prevalent in the selected studies (66.56%). The pooled prevalence of ESBL was significantly higher in reports from America (39.91%, 95% CI, 21.82-59.51) and reports studying hospital and untreated wastewaters (33.98%, 95% CI, 23.82-44.91 and 27.36%, 95% CI, 19.12-36.42). Overall, this meta-analysis showed that the prevalence of ESBL-E in wastewater is increasing over time and that hospital wastewater is the most important repository of ESBL-E. Therefore, there is a need for developing new sewage treatment systems that decrease the introduction of resistant bacteria and antibiotic residues."
0,"Extended spectrum beta-lactamase-producing  surveillance in the human, food chain, and environment sectors: Tricycle project (pilot) in Indonesia. The World Health Organization (WHO) has been implementing antimicrobial surveillance with a ""One Health"" approach, known as the Global Surveillance ESBL  Tricycle Project. We describe the implementation of the Tricycle Project (pilot) in Indonesia, focusing on its results, challenges and recommendations. The samples were 116 patients with bloodstream infections caused by ESBL , 100 rectal swabs collected from pregnant women, 240 cecums of broiler, and 119 environmental samples, using the standardized method according to the guidelines. ESBL-producing  was found in 40 (40%) of the 100 pregnant women, while the proportion of ESBL-producing  was 57.7% among the total -induced bloodstream infections. ESBL-producing  was isolated from 161 (67.1%) out of 240 broilers. On the other hand, the average concentration of  in the water samples was 2.0 × 10 CFU/100 mL, and the ratio of ESBL-producing  was 12.8% of total . Unfortunately, 56.7% of questionnaires for patients were incomplete. The Tricycle Project (pilot) identified that the proportion of ESBL-producing  was very high in all types of samples, and several challenges and obstacles were encountered during the implementation of the study in Indonesia. The finding of this study have implication to health/the antimicrobial resistance (AMR) surveillance. We recommend continuing this project and extending this study to other provinces to determine the AMR burden as the baseline in planning AMR control strategies in Indonesia. We also recommend improving the protocol of this study to minimize obstacles in the field."
0,"Decreasing proportion of extended-spectrum beta-lactamase among E. coli infections during the COVID-19 pandemic in France. We investigated the impact of the COVID-19 and national pandemic response on the epidemiology of Extended Spectrum Beta-Lactamase producing E. coli (ESBL-E.coli) in France."
0,"The effect of antibiotics and photodynamic therapy on extended-spectrum beta-lactamase (ESBL) positive of  in urothelial cells. Urinary tract infections are commonly caused by the bacteria  and  (UTI). The emergence of extended-spectrum -lactamase (ESBL)-producing bacteria strains has made UTI treatment more difficult."
0,"The Prevalence and Characterization of Fecal Extended-Spectrum-Beta-Lactamase-Producing  Isolated from Pigs on Farms of Different Sizes in Latvia. The aim of this study was to determine the prevalence of fecal ESBL-producing  () in pigs on large and small farms in Latvia, to characterize beta-lactamase genes and establish an antimicrobial resistance profile. Fecal samples (n = 615) were collected from 4-week, 5-week, 6-week, 8-week, 12-week and 20-week-old piglets, pigs and sows on four large farms (L1, L2, L3, L4) and three small farms (S1, S2, S3) in Latvia. ChromArt ESBL agar and combination disc tests were used for the screening and confirmation of ESBL-producing . The antimicrobial resistance was determined by the disc diffusion method and ESBL genes were determined by polymerase chain reaction (PCR). Subsequently, ESBL-producing .  was confirmed on three large farms, L1 (64.3%), L2 (29.9%), L3 (10.7%) and one small farm, S1 (47.5%); n = 144 (23.4%). The prevalence of ESBL-producing  differed considerably between the large and small farm groups (26.9% vs. 12.7%). Of ESBL  isolates, 96% were multidrug-resistant (MDR), demonstrating there were more extensive MDR phenotypes on large farms. The distribution of ESBL genes was  (94%),&nbsp; (86%) and  (48%). On the small farm,  dominated, thus demonstrating a positive association with resistance to amoxicillin-clavulanic acid, ceftazidime and cefixime, while on the large farms,  with a positive association to cephalexin and several non-beta lactam antibiotics dominated. The results indicated the prevalence of a broad variety of ESBL-producing  among the small and large farms, putting the larger farms at a higher risk. Individual monitoring of ESBL and their antimicrobial resistance could be an important step in revealing hazardous MDR ESBL-producing  strains and reviewing the management of antibiotic use."
0,"Antimicrobial Susceptibility among Gram-Negative Isolates in Pediatric Patients in Europe from 2013-2018 Compared to 2004-2012: Results from the ATLAS Surveillance Study. Data on antimicrobial resistance (AMR) in the paediatric patient population are scarce. This study assessed the AMR rates and phenotype distribution of Gram-negative isolates in paediatric patients in Europe from 2004-2012 and 2013-2018."
1,"Distribution of ciprofloxacin-resistance genes among ST131 and non-ST131 clones of  isolates with ESBL phenotypes isolated from women with urinary tract infection.  sequence type 131 (ST131) is associated with extended-spectrum beta-lactamase (ESBL) production and fluoroquinolone resistance. This study aimed to investigate the prevalence of ST131, ESBL, and plasmid-mediated quinolone resistance (PMQR) genes in the ciprofloxacin-resistant (CIP) and ESBL producers from women with UTI."
1,"Relay oral therapy in febrile urinary tract infections caused by extended spectrum beta-lactamase-producing Enterobacteriaceae in children: A French multicenter study. We need studies assessing therapeutic options for oral relay in febrile urinary tract infection (FUTI) due to ESBL-producing Enterobacteriaceae (ESBL-E) in children. Amoxicillin-clavulanate/cefixime (AC-cefixime) combination seems to be a suitable option. We sought to describe the risk of recurrence at 1 month after the end of treatment for FUTI due to ESBL-E according to the oral relay therapy used."
1,"Duration of carriage of multidrug-resistant bacteria in dogs and cats in veterinary care and co-carriage with their owners. The emergence and spread of multidrug-resistant organisms (MDROs) represent a threat to human and animal health."
1,"Antibiotic Resistance Profiles and Molecular Characteristics of Extended-Spectrum Beta-Lactamase (ESBL)-Producing  and  Isolated From Shrimp Aquaculture Farms in Kerala, India. This study was undertaken to evaluate the prevalence of extended-spectrum beta-lactamase (ESBL)-producing  and  in selected shrimp aquaculture farms ( = 37) in Kerala, South India and to characterize the isolates using molecular tools. Overall, a low prevalence of ESBL-producers was found in the farms, most likely due to the reduced antibiotic usage in the shrimp farming sector. Out of the 261 samples (77 shrimp and 92 each of water and sediment), 14 (5.4%) tested positive for ESBL- or ESBL-. A total of 32 ESBL- and 15 ESBL-  were recovered from these samples. All ESBL isolates were cefotaxime-resistant with minimal inhibitory concentration (MIC) ≥32 μg/ml. Of all isolates, 9 (28.1%)  and 13 (86.7%)  showed simultaneous resistance to tetracycline, ciprofloxacin, and trimethoprim-sulfamethoxazole. PCR analysis identified CTX-M group 1 (  ) as the predominant ESBL genotype in both  (23, 71.9%) and  (15, 100%). Other beta-lactamase genes detected were as follows:   and   (11 ),   (9 ), and   (2 ). Further screening for AMR genes identified  and  (13, 40.6%),  (11, 34.4%),  (9, 28.1%),  and  (11, 34.4%),  and ' (9, 28.1%) and  and  (2, 6.3%) in , and  (13, 86.7%),  (3, 20%),  (13, 86.7%),  (13, 86.7%), and  (13, 86.7%) in  isolates. Phylogenetic groups identified among  isolates included B1 (4, 12.5%), B2 (6, 18.8%), C (10, 31.3%), D (3, 9.4%), and E (9, 28.1%). PCR-based replicon typing (PBRT) showed the predominance of IncFIA and IncFIB plasmids in ; however, in , the major replicon type detected was IncHI1. Invariably, all isolates of  harbored virulence-associated genes viz., , , and . Epidemiological typing by pulsed-field gel electrophoresis (PFGE) revealed that  isolates recovered from different farms were genetically unrelated, whereas isolates of  showed considerable genetic relatedness. In conclusion, our findings provide evidence that shrimp aquaculture environments can act as reservoirs of multi-drug resistant  and "
1,"Molecular detection of bla gene to predict phenotypic cephalosporin resistance and clinical outcome of Escherichia coli bloodstream infections in Vietnam. Blood stream infections (BSI) caused by Extended Spectrum Beta-Lactamases (ESBLs) producing Enterobacteriaceae is a clinical challenge leading to high mortality, especially in developing countries. In this study, we sought to describe the epidemiology of ESBL-producing Escherichia coli strains isolated from Vietnamese individuals with BSI, to investigate the concordance of genotypic-phenotypic resistance, and clinical outcome of ESBL E. coli BSI."
